Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
21,JR,F,6-5,185,"Tulalip, WA",Marysville-Pilchuck HS,78 (2019),"17.7 Pts, 2.9 Reb, 0.9 Ast",
13,SR,F,6-9,240,"London, United Kingdom",Barking Abbey (England),,"12.8 Pts, 6.0 Reb, 1.0 Ast",
3,SO,F,6-8,245,"Bradford, United Kingdom",Myerscough College (England),,"10.1 Pts, 4.6 Reb, 1.0 Ast",
10,SR,G,6-2,195,"Pasadena, CA",Pasadena HS,,"9.1 Pts, 4.4 Reb, 4.9 Ast",
0,SR,G,6-5,210,"Ipswich, United Kingdom",Barking Abbey School,,"6.6 Pts, 3.3 Reb, 1.1 Ast",
11,SO,G,6-8,180,"Snoqualmie, WA",Mount Si HS,,"5.0 Pts, 1.2 Reb, 0.5 Ast",
20,JR,G,6-0,180,"Portland, OR",Jefferson (OR),,"4.4 Pts, 3.2 Reb, 1.8 Ast",
25,SO,F,6-7,215,"Sheridan, WY",Sheridan HS,,"3.3 Pts, 2.2 Reb, 0.5 Ast",
1,SO,G,6-7,190,"Palmer, AK",Colony HS,,"4.5 Pts, 2.0 Reb, 0.5 Ast",
2,JR,G,6-4,190,"Humble, TX",Atascocita (TX),,"1.6 Pts, 0.5 Reb, 0.4 Ast",
24,FR,G,6-2,175,"Agoura, CA",Agoura (CA); Southern California Academy (CA),,"2.8 Pts, 1.0 Reb, 0.9 Ast",
4,FR,F,6-8,190,"Missoula, MT",Sentinel HS,,"2.1 Pts, 0.7 Reb, 0.0 Ast",
22,FR,F,6-8,215,"Bucharest, Romania",Cluj Napoca (Romania),,"1.4 Pts, 1.2 Reb, 0.1 Ast",
14,SO,G,6-0,165,"Bozeman, MT",Bozeman HS,,"1.5 Pts, 0.7 Reb, 0.3 Ast",
