Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
22,SR,F,6-7,230,"Vero Beach, FL",Vero Beach (FL),,"20.9 Pts, 9.7 Reb, 2.2 Ast",
2,SR,G,6-4,200,"Grandview, MO",Grandview HS,,"15.6 Pts, 6.0 Reb, 2.4 Ast",
15,SR,G,6-5,190,"New Orleans, LA",Holy Cross HS,,"12.3 Pts, 4.3 Reb, 1.4 Ast",
,JR,G,6-3,185,"Orlando, FL",The Master's Academy,,"10.0 Pts, 3.0 Reb, 6.2 Ast",
,FR,F,6-7,205,"Clarksville, TN",Clarksville Academy (TN),,"7.5 Pts, 5.3 Reb, 1.4 Ast",
23,SR,F,6-10,220,"Walton, KY",Walton-Verona HS,,"5.0 Pts, 5.0 Reb, 0.7 Ast",
5,SR,C,6-9,250,"Cypress, TX",Cy-Fair HS,,"2.4 Pts, 2.1 Reb, 0.2 Ast",
1,FR,G,6-4,200,"Winchester, KY",George Rogers Clark (KY),,"2.2 Pts, 1.3 Reb, 0.6 Ast",
12,SO,G,6-3,185,"Jackson, MS",Forest Hill (MS),,"2.2 Pts, 1.2 Reb, 0.2 Ast",
11,SO,G,6-4,175,"Tampa, FL",Alonso (FL),,"4.6 Pts, 0.9 Reb, 1.7 Ast",
10,SO,G,6-1,185,"Inez, KY",Martin County (KY),,"0.5 Pts, 0.1 Reb, 0.0 Ast",
