Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,JR,F,6-10,245,"Cleveland, MS",Cleveland Central HS,,"18.0 Pts, 8.4 Reb, 0.7 Ast",
10,JR,G,6-5,175,"Fairhope, AL",Fairhope HS,,"16.8 Pts, 5.6 Reb, 3.1 Ast",
14,SO,G,6-0,170,"Little Rock, AR",Little Rock Christian Academy,,"13.4 Pts, 2.3 Reb, 5.1 Ast",
2,SO,G,6-2,217,"Hartsville, SC",Hartsville HS,,"9.2 Pts, 5.1 Reb, 2.5 Ast",
55,JR,F,6-7,210,"New Orleans, LA",Sophie B. Wright HS,,"5.8 Pts, 6.3 Reb, 0.9 Ast",
13,SR,G,6-3,190,"Chapel Hill, NC",East Chapel High School,,"4.3 Pts, 1.7 Reb, 1.2 Ast",
1,JR,G,6-1,185,"Holly Springs, MS",Holly Springs HS,,"3.5 Pts, 1.2 Reb, 0.2 Ast",
32,SO,F,6-8,235,"Greensboro, NC",Ben L. Smith HS,,"3.2 Pts, 2.9 Reb, 0.3 Ast",
31,SR,F,6-6,230,"Killeen, TX",River Ridge (TX),,"4.2 Pts, 2.8 Reb, 0.6 Ast",
4,SO,G,6-2,190,"Clearwater, FL",East Lake HS,,"1.9 Pts, 0.5 Reb, 0.6 Ast",
33,SO,G,6-6,200,"Paducah, KY",McCracken County HS,,"1.7 Pts, 0.6 Reb, 0.1 Ast",
25,JR,G,6-0,185,"Paducah, KY",Tilghman HS,,"0.9 Pts, 0.7 Reb, 0.1 Ast",
