Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-1,175,"Raleigh, NC","Trinity Christian (Fayetteville, NC)",,"16.9 Pts, 3.5 Reb, 2.1 Ast",
30,SR,F,6-9,260,"Rock Hill, SC",York Preparatory Academy,,"12.9 Pts, 4.0 Reb, 2.9 Ast",
8,JR,G,6-4,190,"Indianapolis, IN",Perry Meridian HS,,"11.2 Pts, 3.6 Reb, 1.3 Ast",
14,SR,G,6-3,196,"Fort Washington, MD",Saint John's College HS (DC),58 (2019),"11.1 Pts, 2.8 Reb, 1.6 Ast",
23,SR,F,6-10,215,"Paris, France",Redemption Christian (NY),,"6.3 Pts, 7.8 Reb, 0.6 Ast",
12,SR,G,6-2,180,"Mineola, NY",Blair Academy,,"5.7 Pts, 3.4 Reb, 3.2 Ast",
34,JR,F,6-10,225,"Fort Lauderdale, FL",Westminster Academy,,"5.7 Pts, 4.4 Reb, 0.6 Ast",
11,FR,G,6-6,205,"Richmond, VA",John Marshall (VA),,"4.7 Pts, 3.2 Reb, 0.4 Ast",
4,JR,G,6-0,175,"Reidsville, NC",Reidsville (NC),,"1.3 Pts, 0.5 Reb, 0.3 Ast",
3,SO,G,6-5,215,"Durham, NC",Durham Academy (NC); Oak Hill Academy (VA); Prolific Prep (CA),27 (2022),"4.1 Pts, 1.9 Reb, 0.1 Ast",
,SO,G,6-2,205,"Plant City, FL",Columbia (GA); Camp Jewell (GA); Bull City Prep (NC),,"2.6 Pts, 1.1 Reb, 0.8 Ast",
,JR,G,6-2,170,"Bessemer, AL",Pinson Valley HS,,"1.2 Pts, 0.8 Reb, 0.2 Ast",
,JR,F,6-9,190,"Alachua, FL",Santa Fe (FL),69 (2021),"0.3 Pts, 0.4 Reb, 0.0 Ast",
13,SO,G,5-10,155,"Cary, NC",Grace Christian (NC),,"0.0 Pts, 0.2 Reb, 0.0 Ast",
20,JR,G,6-2,180,"Cary, NC",Cary Academy,,"0.0 Pts, 0.1 Reb, 0.0 Ast",
22,SO,G,6-2,165,"Cary, NC",Panther Creek (NC),,"0.0 Pts, 0.2 Reb, 0.0 Ast",
