Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
30,SR,G,6-2,178,"Moriyama Nagoya Aichi, Japan",Sakuragaoka Gakuen (Japan),,"15.1 Pts, 2.3 Reb, 1.4 Ast",
3,JR,G,6-7,215,"Huntersville, NC",Hopewell HS,,"13.4 Pts, 5.5 Reb, 2.5 Ast",
51,JR,F,6-9,240,"Groningen, Netherlands",Donar Groningen (Netherlands),,"12.3 Pts, 7.5 Reb, 3.0 Ast",
4,JR,F,6-6,218,"Columbia, SC",West Charlotte HS,82 (2019),"11.6 Pts, 6.1 Reb, 1.3 Ast",
,SR,G,6-5,195,"Plainfield, NJ",Roselle Catholic HS,,"7.7 Pts, 1.5 Reb, 0.8 Ast",
53,SR,F,6-8,225,"Lincoln, NE",Lincoln North Star (NE),,"7.3 Pts, 5.4 Reb, 1.3 Ast",
,SO,G,6-3,185,"Plainfield, NJ",Plainfield (NJ); Roselle Catholic (NJ),,"6.9 Pts, 3.1 Reb, 2.5 Ast",
1,SO,G,6-0,183,"Lincoln, NE",Hinsdale Central (IL); Pius X (NE),,"3.4 Pts, 2.9 Reb, 1.7 Ast",
,FR,G,6-7,213,"Gallatin, TN",Station Camp (TN); IMG Academy (FL),,"4.2 Pts, 1.6 Reb, 0.4 Ast",
9,SR,G,6-5,205,"Indianapolis, IN",Cathedral HS,,"2.4 Pts, 1.7 Reb, 2.3 Ast",
,FR,F,6-9,213,"Dakar, Senegal",NBA Academy Africa; Keystone Athletic Academy (PA),,"0.8 Pts, 0.9 Reb, 0.3 Ast",
31,FR,G,6-4,194,"Ashland, NE",Ashland-Greenwood (NE),,"0.7 Pts, 0.2 Reb, 0.3 Ast",
8,JR,G,6-3,195,"Elmhurst, IL",York (IL),,"0.4 Pts, 0.2 Reb, 0.1 Ast",
35,FR,F,6-4,216,"Omaha, NE",Elkhorn South (NE),,"0.3 Pts, 0.4 Reb, 0.0 Ast",
