Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,SR,G,6-3,195,"Hacienda Heights, CA",Los Altos HS,,"17.8 Pts, 2.8 Reb, 1.4 Ast",
13,SR,G,6-6,215,"Orlando, FL",Jones HS,,"15.1 Pts, 4.8 Reb, 5.0 Ast",
11,SO,F,6-8,210,"Santa Ana, CA",Mater Dei (CA),,"12.2 Pts, 7.3 Reb, 1.4 Ast",
4,SR,F,6-7,185,"Jeffersonville, IN",Jeffersonville HS,,"8.5 Pts, 3.8 Reb, 2.8 Ast",
0,SR,G,6-2,185,"Snellville, GA",Greater Atlanta Christian School,,"5.9 Pts, 1.2 Reb, 1.3 Ast",
42,SR,F,6-10,210,"Phoenix, AZ",Hillcrest Prep,,"5.7 Pts, 3.0 Reb, 0.3 Ast",
20,SR,G,6-6,185,"Melbourne, Australia",Golden State Preparatory School,,"4.3 Pts, 4.5 Reb, 1.5 Ast",
3,FR,G,6-0,173,"Los Angeles, CA",St. Bernard (CA),,"3.8 Pts, 1.5 Reb, 1.5 Ast",
,JR,F,6-6,220,"Franklinton, LA",Franklinton (LA),,"3.6 Pts, 2.2 Reb, 0.2 Ast",
,FR,C,7-0,225,"Pasadena, CA",Los Altos (CA); West Ranch (CA),,"2.5 Pts, 2.0 Reb, 0.2 Ast",
12,JR,F,7-0,220,"Anchorage, AK",Great Bridge Christian HS,,"0.8 Pts, 0.9 Reb, 0.0 Ast",
5,FR,G,6-4,195,"Akron, OH",Buchtel (OH),,"0.5 Pts, 0.8 Reb, 0.2 Ast",
24,FR,F,6-8,195,"Phoenix, AZ",Hillcrest Prep (AZ); Millennium (AZ); Phhoenix Prep (AZ),,"3.0 Pts, 1.0 Reb, 0.0 Ast",
10,SO,G,5-8,140,"Los Angeles, CA",Ribet Academy (CA),,"0.0 Pts, 0.0 Reb, 1.0 Ast",
