Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,JR,F,6-6,223,"Mesa, AZ",Boys Town High School,,"19.6 Pts, 6.7 Reb, 2.5 Ast",
10,JR,G,6-4,180,"Houston, TX",Fort Bend Marshall HS,,"11.9 Pts, 5.1 Reb, 3.1 Ast",
35,SR,F,6-7,235,"Las Cruces, NM",Onate High School,,"8.6 Pts, 5.5 Reb, 2.3 Ast",
13,SO,F,6-10,265,"Philadelphia, PA",Martin Luther King HS,,"6.6 Pts, 4.9 Reb, 1.0 Ast",
42,SR,F,6-11,225,"Auckland, New Zealand",Impact Academy (FL),,"4.7 Pts, 1.7 Reb, 0.4 Ast",
15,SO,F,6-8,220,"Chicago, IL",Blue Valley Northwest HS,,"4.1 Pts, 2.4 Reb, 0.6 Ast",
2,SR,F,6-7,225,"Detroit, MI",Findlay College Prep,,"6.4 Pts, 3.4 Reb, 1.0 Ast",
5,SR,G,6-4,200,"Calgary, Canada",Bishop McNally (AB),,"5.1 Pts, 3.4 Reb, 0.8 Ast",
4,SO,G,6-2,185,"St. Louis, MO",Vashon HS,,"3.8 Pts, 2.1 Reb, 1.1 Ast",
1,FR,F,6-8,205,"Richmond, VA",Life Christian (VA); Central Pointe (FL),,"4.0 Pts, 2.5 Reb, 0.6 Ast",
3,JR,G,6-4,175,"Seattle, WA",West Seattle (WA),,"2.9 Pts, 2.0 Reb, 1.8 Ast",
12,JR,G,6-2,165,"Milwaukee, WI",Hillcrest Academy,,"4.2 Pts, 1.2 Reb, 0.6 Ast",
23,SO,G,6-0,185,"Hyde Park, MA",Burke (MA),,"2.7 Pts, 0.4 Reb, 0.4 Ast",
11,,G,6-3,173,"Windsor, Canada",,,"2.5 Pts, 1.0 Reb, 0.0 Ast",
20,,G,6-1,165,"Kirtland, NM",Kirtland HS,,"0.6 Pts, 0.2 Reb, 0.0 Ast",
