Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,SR,G,6-1,160,"Phoenix, AZ",Shadow Mountain (AZ),,"15.9 Pts, 3.5 Reb, 3.5 Ast",
2,SO,F,6-2,170,"Riverside, CA",Centennial (CA),,"14.1 Pts, 2.5 Reb, 5.4 Ast",
,FR,F,6-9,210,"Dallas, TX",Oak Cliff Faith Family Academy (TX),,"12.4 Pts, 9.1 Reb, 0.6 Ast",
,SR,G,6-2,175,"Miami, FL",Brewster Academy,,"14.1 Pts, 2.1 Reb, 1.5 Ast",
23,JR,F,6-9,230,"Benin City, Benin",NBA Academy Africa,,"8.9 Pts, 8.2 Reb, 1.0 Ast",
22,SO,F,6-10,220,"Helsinki, Finland",HBA-MÃ¤rsky (Finland),,"6.7 Pts, 3.5 Reb, 0.7 Ast",
3,FR,G,6-4,195,"Phoenix, AZ",Mountain Pointe (AZ); AZ Compass Prep (AZ),,"6.6 Pts, 3.3 Reb, 1.3 Ast",
0,SR,G,6-5,195,"Menifee, CA",Eleanor Roosevelt HS,72 (2017),"4.4 Pts, 1.5 Reb, 1.0 Ast",
12,SR,F,6-5,208,"Lubumbashi, Democratic Republic of the Congo",Spire Academy,,"1.8 Pts, 2.7 Reb, 0.4 Ast",
1,FR,G,6-7,185,"Blue Springs, MO",Blue Springs (MO); Western Reserve (OH),,"2.5 Pts, 0.6 Reb, 0.3 Ast",
11,SO,G,6-6,205,"San Bernardino, CA",Etiwanda (CA),,"2.0 Pts, 1.4 Reb, 0.1 Ast",
21,JR,C,6-11,240,"Floda, Sweden",Marks Gymnasium (Sweden),,"1.0 Pts, 1.0 Reb, 0.4 Ast",
