Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
4,SR,F,6-10,190,"Knoxville, TN",Bearden HS,,"21.0 Pts, 9.2 Reb, 2.3 Ast",
3,SR,G,6-5,190,"Oak Ridge, TN",Oak Ridge HS,,"14.8 Pts, 5.2 Reb, 1.2 Ast",
13,JR,F,6-8,235,"Greensboro, NC",Ben L. Smith HS,,"8.1 Pts, 5.8 Reb, 0.6 Ast",
12,JR,G,6-3,180,"Morgantown, NC",Freedom HS,,"8.0 Pts, 1.9 Reb, 1.0 Ast",
1,SR,G,6-5,210,"Richmond, VA",LC Bird HS,,"6.4 Pts, 3.5 Reb, 0.9 Ast",
10,SR,G,6-0,160,"Columbia, SC",Wilson HS,,"5.7 Pts, 1.1 Reb, 1.0 Ast",
2,SR,G,6-3,170,"Winston-Salem, NC",Moravian Prep,,"4.9 Pts, 2.0 Reb, 4.2 Ast",
0,SR,G,6-2,160,"Knoxville, TN",Bearden HS,,"3.7 Pts, 1.4 Reb, 1.4 Ast",
14,SR,F,6-8,210,"Bamako, Mali",Our Saviour Lutheran (NY),,"1.9 Pts, 2.4 Reb, 0.2 Ast",
15,FR,G,6-4,205,"East Lake, FL",East Lake HS,,"3.1 Pts, 0.6 Reb, 0.2 Ast",
5,JR,F,6-7,180,"Greensboro, NC",Ben L. Smith HS,,"2.1 Pts, 0.5 Reb, 0.2 Ast",
11,FR,G,5-10,160,"Mocksville, NC",Davie County (NC),,"1.0 Pts, 0.0 Reb, 0.0 Ast",
23,FR,G,6-3,165,"Huntersville, NC",North Mecklenburg (NC),,"1.0 Pts, 1.3 Reb, 0.0 Ast",
21,JR,G,6-1,170,"Clayton, NC",Corinth Holders (NC),,"0.8 Pts, 1.0 Reb, 0.8 Ast",
25,FR,F,6-5,225,"Asheville, NC",Enka (NC),,"1.0 Pts, 0.5 Reb, 0.0 Ast",
