Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,JR,F,6-10,240,"Richmond, VA",IMG Academy,23 (2019),"16.3 Pts, 13.1 Reb, 1.5 Ast",
2,SO,G,6-4,195,"St. Louis, MO",Christian Brothers (MO),13 (2020),"15.9 Pts, 3.4 Reb, 3.6 Ast",
45,SR,F,6-9,231,"Harrah, OK",Harrah High School,,"15.1 Pts, 6.1 Reb, 1.8 Ast",
4,SO,G,6-0,160,"White Plains, NY",Archbishop Stepinac HS,43 (2020),"13.5 Pts, 4.3 Reb, 3.6 Ast",
1,SR,G,6-8,195,"Concord, NC",Cox Mill HS,64 (2018),"4.9 Pts, 4.3 Reb, 2.7 Ast",
13,SO,F,6-11,230,"Prior Lake, MN",Prior Lake HS,35 (2020),"9.0 Pts, 5.5 Reb, 0.7 Ast",
24,SO,G,6-5,205,"Hopkins, MN",Hopkins HS,,"3.4 Pts, 1.2 Reb, 0.4 Ast",
14,SO,G,6-8,190,"Moon Township, PA",Hillcrest Prep HS,59 (2020),"3.1 Pts, 2.0 Reb, 0.5 Ast",
3,FR,G,6-6,210,"Kinston, NC",Kinston HS,60 (2021),"2.0 Pts, 1.4 Reb, 0.1 Ast",
0,SO,G,6-4,196,"Woodbridge, VA",Paul VI (VA),70 (2019),"2.6 Pts, 0.4 Reb, 0.6 Ast",
22,JR,F,6-8,215,"Cary, NC",Panther Creek HS,,"1.0 Pts, 1.4 Reb, 0.5 Ast",
11,FR,G,6-4,185,"Tucson, AZ",Westover HS,63 (2021),"1.0 Pts, 0.3 Reb, 0.3 Ast",
34,JR,F,6-6,205,"Charlotte, NC",Myers Park HS,,"0.8 Pts, 0.5 Reb, 0.0 Ast",
30,,G,6-1,180,"Richmond, VA",Collegiate School,,"0.3 Pts, 0.7 Reb, 0.3 Ast",
15,,G,6-4,185,"Greensboro, NC",N.C. School of Science & Math,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
25,SO,G,6-1,160,"Wilson, NC",Greenfield School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
35,SR,F,6-5,200,"Boca Raton, FL",Saint Andrew's School,,"0.0 Pts, 0.4 Reb, 0.0 Ast",
