Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,FR,G,6-5,185,"South Bend, IN",Riley HS,,"14.4 Pts, 3.7 Reb, 2.4 Ast",
23,SR,G,6-6,200,"Upper Arlington, OH",Upper Arlington HS,,"13.6 Pts, 4.7 Reb, 1.3 Ast",
20,SR,F,6-10,220,"West Palm Beach, FL",Westminster Academy,,"12.5 Pts, 6.9 Reb, 1.7 Ast",
5,SR,G,6-5,195,"New York, NY",Milton Academy,60 (2018),"9.2 Pts, 4.8 Reb, 1.9 Ast",
14,SR,F,6-10,227,"Jupiter, FL",Northfield Mount Herman (MA),61 (2018),"9.3 Pts, 6.5 Reb, 0.8 Ast",
3,SR,G,6-3,175,"Upper Marlboro, MD",Gonzaga (DC),92 (2018),"8.9 Pts, 3.2 Reb, 4.0 Ast",
2,SR,G,6-5,195,"Charlotte, NC",Providence Day HS,,"4.0 Pts, 1.8 Reb, 2.0 Ast",
1,FR,G,6-6,195,"South Bend, IN",St. Joseph (IN),,"1.6 Pts, 0.1 Reb, 0.1 Ast",
22,SO,F,6-8,231,"Philadelphia, PA",Imhotep Charter HS,,"2.7 Pts, 0.7 Reb, 0.0 Ast",
31,JR,G,6-1,165,"New Orleans, LA",Jesuit HS,,"1.0 Pts, 0.5 Reb, 0.7 Ast",
12,SO,G,6-7,202,"Miami, FL",Gulliver Prep,,"1.0 Pts, 0.2 Reb, 0.0 Ast",
25,SO,F,6-9,243,"Blauvelt, NY",Bergen Catholic (NJ),,"0.8 Pts, 0.9 Reb, 0.0 Ast",
