Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,SR,F,6-6,212,"Oxford, MI",Oxford HS,,"17.3 Pts, 8.1 Reb, 3.1 Ast",
3,SR,G,6-3,215,"Pewaukee, WI",Pewaukee (WI),,"13.1 Pts, 4.1 Reb, 1.1 Ast",
11,SR,G,6-3,184,"Haslett, MI",Haslett (MI),,"12.6 Pts, 3.2 Reb, 3.0 Ast",
,SR,F,6-10,215,"Naperville, IL",Naperville Central HS,,"10.0 Pts, 4.1 Reb, 1.3 Ast",
10,JR,F,6-3,189,"Pontiac, MI",Pontiac (MI),,"8.7 Pts, 4.2 Reb, 2.1 Ast",
0,SR,G,6-2,185,"Detroit, MI",Spire Academy,35 (2019),"7.7 Pts, 1.7 Reb, 1.6 Ast",
7,SO,G,6-8,209,"Nashville, TN",East Nashville Magnet (TN); Speights Academy (FL),,"4.9 Pts, 4.2 Reb, 1.5 Ast",
12,JR,F,6-6,218,"Sydney, Australia",Endeavor Sports (Australia),,"3.3 Pts, 3.3 Reb, 0.3 Ast",
21,JR,G,6-1,160,"Las Vegas, NV",Durango (NV),,"1.8 Pts, 1.2 Reb, 1.6 Ast",
13,JR,G,6-5,182,"Upper Marlboro, MD",South Kent School,,"1.3 Pts, 0.7 Reb, 0.2 Ast",
1,JR,G,6-0,228,"Harlem, NY",Hillcrest Prep (AZ),,"1.5 Pts, 0.4 Reb, 0.1 Ast",
15,JR,F,6-10,200,"Detroit, MI",Old Redford (MI); SPIRE Institute (OH),,"0.6 Pts, 0.7 Reb, 0.0 Ast",
25,SO,F,6-5,225,"Northville, MI",Detroit Catholic Central (MI),,"0.7 Pts, 1.0 Reb, 0.3 Ast",
5,SO,G,6-2,175,"Charlevoix, MI",Charlevoix (MI),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
