Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
32,JR,F,6-7,240,"Belleville, IL",Belleville West (IL),41 (2019),"19.4 Pts, 7.9 Reb, 2.5 Ast",
22,FR,G,6-5,180,"Columbus, OH",St. Vincent HS,32 (2021),"13.7 Pts, 3.6 Reb, 2.0 Ast",
23,SO,F,6-8,245,"Bay Shore, NY",Long Island Lutheran HS,,"7.8 Pts, 5.6 Reb, 0.5 Ast",
55,SR,G,6-1,170,"Live Oak, FL",The Rock High School,,"7.1 Pts, 3.2 Reb, 2.9 Ast",
25,SR,F,6-8,225,"Canton, OH",Jackson High School,,"8.2 Pts, 5.0 Reb, 1.2 Ast",
10,SR,F,6-6,195,"Versailles, OH",Versailles HS,,"4.8 Pts, 2.3 Reb, 0.8 Ast",
2,SR,G,6-2,190,"Alexandria, LA",Peabody Magnet High School,,"4.2 Pts, 0.6 Reb, 0.4 Ast",
0,FR,G,6-2,172,"Cleveland, OH",Garfield Heights HS,,"4.4 Pts, 1.5 Reb, 1.2 Ast",
3,SO,G,6-6,195,"Conyers, GA",Southwest Dekalb HS,,"3.5 Pts, 2.4 Reb, 0.5 Ast",
50,SR,F,6-11,255,"Indianapolis, IN",Southport High School,,"2.4 Pts, 1.6 Reb, 0.2 Ast",
1,SR,G,6-3,200,"Elk Grove Village, IL",James B. Conant High School,,"1.8 Pts, 0.7 Reb, 1.3 Ast",
14,SR,F,6-7,215,"Honolulu, HI",Mater Dei High School,,"6.0 Pts, 3.5 Reb, 0.0 Ast",
42,SR,F,6-6,195,"Lebanon, OH",Lebanon High School (OH),,"0.3 Pts, 0.3 Reb, 0.3 Ast",
