Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
22,SR,G,6-4,202,"Rochester, NY",Aquinas Institute (NY),,"17.7 Pts, 7.4 Reb, 6.6 Ast",
1,SR,F,6-6,219,"Paulsboro, NJ",Roman Catholic HS,,"14.2 Pts, 6.3 Reb, 0.9 Ast",
10,SR,G,6-5,188,"Warrington, PA",Archbishop Wood (PA),,"12.5 Pts, 3.0 Reb, 1.1 Ast",
11,SR,G,6-2,175,"Hempstead, NY",DME Academy,,"8.9 Pts, 2.9 Reb, 2.0 Ast",
2,SR,G,6-4,220,"Detroit, MI",Gonzaga (DC),,"5.5 Pts, 2.0 Reb, 0.9 Ast",
3,FR,F,6-10,237,"Centerville, OH",Centerville (OH); La Lumiere (IN),,"3.4 Pts, 3.5 Reb, 0.5 Ast",
0,FR,G,5-11,192,"Virginia Beach, VA",Princess Anne (VA); Massanutten Military (VA),,"3.7 Pts, 0.9 Reb, 0.7 Ast",
12,FR,F,6-6,200,"Cincinnati, OH",Archbishop Moeller (OH),,"2.8 Pts, 1.7 Reb, 0.4 Ast",
24,SR,F,6-8,225,"Bellevue, WA",Bellevue (WA),,"2.4 Pts, 1.1 Reb, 0.6 Ast",
23,JR,G,6-3,175,"Haverhill, MA",Phillips Academy,,"2.0 Pts, 0.7 Reb, 0.3 Ast",
4,JR,G,6-7,230,"Westminister, MD",The Hill School,,"2.3 Pts, 2.2 Reb, 0.4 Ast",
5,FR,G,6-4,188,"Philadelphia, PA",Haverford (PA); Westtown (PA),,"0.9 Pts, 1.0 Reb, 0.2 Ast",
14,FR,F,6-10,260,"Philadelphia, PA",Lower Merion (PA),,"0.8 Pts, 0.4 Reb, 0.0 Ast",
33,JR,G,6-5,175,"Madison, NJ",Madison HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
15,SR,G,6-4,180,"Sewickley, PA",Quaker Valley (PA),,"0.0 Pts, 0.2 Reb, 0.0 Ast",
35,SR,G,6-1,180,"Wilmington, DE",Huntington Prep,,"0.0 Pts, 0.0 Reb, 0.5 Ast",
