Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
23,SO,G,6-4,200,"South Bend, IN",La Lumiere Prep HS,87 (2020),"17.3 Pts, 4.9 Reb, 3.1 Ast",
15,SO,C,7-4,285,"Toronto, Canada",IMG Academy,,"14.4 Pts, 7.7 Reb, 1.2 Ast",
50,SR,F,6-10,265,"Chicago, IL",Henry Ford Academy,,"12.0 Pts, 7.4 Reb, 3.0 Ast",
55,SR,G,6-5,200,"Crown Point, IN",Crown Point HS,,"10.4 Pts, 2.5 Reb, 3.0 Ast",
2,SR,G,6-4,170,"Indianapolis, IN",Tindley Prep,,"6.2 Pts, 2.1 Reb, 2.0 Ast",
0,SO,F,6-6,230,"New Castle, IN",New Castle (IN),,"6.4 Pts, 4.8 Reb, 1.1 Ast",
11,JR,G,6-1,160,"Zionsville, IN",Zionsville Community (IN),,"4.2 Pts, 1.0 Reb, 0.9 Ast",
3,FR,F,6-10,215,"Fort Wayne, IN",Blackhawk Christian HS,62 (2021),"4.1 Pts, 3.2 Reb, 0.4 Ast",
5,SO,G,6-5,195,"Valparaiso, IN",Valparaiso (IN),,"4.6 Pts, 1.9 Reb, 0.6 Ast",
25,SO,G,6-6,215,"Butler, PA",Butler Area HS,85 (2020),"2.4 Pts, 1.4 Reb, 1.4 Ast",
34,SO,G,6-5,215,"Lafayette, IN",Central Catholic HS,,"0.4 Pts, 0.7 Reb, 0.1 Ast",
21,JR,F,6-5,200,"Columbus, IN",Columbus East (OH),,"0.4 Pts, 0.3 Reb, 0.0 Ast",
22,SO,G,6-3,195,"Columbia, MO",Tolton HS,,"0.3 Pts, 0.3 Reb, 0.1 Ast",
14,SR,G,5-10,170,"Stanford, CA",Palo Alto (CA),,"0.2 Pts, 0.1 Reb, 0.0 Ast",
