Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,SR,G,6-6,245,"Franklin Lakes, NJ",Don Bosco Prep,,"15.8 Pts, 5.9 Reb, 1.9 Ast",
11,SO,C,6-11,240,"Benin City, Nigeria",Roselle Catholic HS,46 (2020),"11.9 Pts, 7.8 Reb, 0.4 Ast",
0,SR,G,6-4,195,"Derry, NH",Proctor Academy,,"12.6 Pts, 2.1 Reb, 3.9 Ast",
4,JR,G,6-6,210,"Bayonne, NJ",Gill St. Bernard's (NJ),,"9.0 Pts, 4.1 Reb, 5.3 Ast",
22,SR,G,6-7,195,"Jacksonville, FL",Spire Academy (OH),,"7.1 Pts, 5.3 Reb, 2.1 Ast",
5,SR,F,6-6,225,"Bronx, NY",Miller School,,"4.3 Pts, 2.8 Reb, 0.7 Ast",
3,SO,F,6-7,215,"Melbourne, Australia",Prolific Prep,,"2.9 Pts, 1.9 Reb, 0.4 Ast",
21,SO,F,6-10,225,"Greensboro, NC",Northwest Guilford HS,,"2.9 Pts, 1.3 Reb, 0.4 Ast",
45,SO,G,6-8,195,"Dallas, TX",,,"3.6 Pts, 1.2 Reb, 0.2 Ast",
35,SR,F,6-8,235,"Victorville, CA",Silverado HS,,"1.9 Pts, 1.1 Reb, 0.2 Ast",
1,SO,F,6-8,220,"Kinna, Sweden",Marks (Sweden),,"1.5 Pts, 0.7 Reb, 0.4 Ast",
2,FR,G,6-2,200,"Frederick, MD",Bishop Walsh HS,,"0.6 Pts, 0.6 Reb, 0.3 Ast",
55,SR,F,6-11,235,"Randolph, NJ",Randolph High School,,"0.5 Pts, 0.5 Reb, 0.5 Ast",
25,SO,G,5-11,150,"Mt. Washington, KY",Aspire Academy,,"0.0 Pts, 1.3 Reb, 0.3 Ast",
