Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,F,6-9,222,"Melbourne, Australia",Greenforest McCalep (GA),,"16.1 Pts, 6.1 Reb, 1.5 Ast",
2,SR,G,6-5,205,"Brampton, Canada",GTA Prep (ON); The Rock School (FL),,"11.3 Pts, 3.2 Reb, 1.0 Ast",
,JR,G,6-5,190,"Charlotte, NC",West Oaks Academy,,"11.5 Pts, 4.5 Reb, 1.3 Ast",
21,SR,G,6-0,179,"Holladay, UT",Olympus HS,100 (2019),"9.4 Pts, 3.0 Reb, 5.0 Ast",
4,SR,F,6-6,220,"Birmingham, AL",Hueytown (AL),,"10.6 Pts, 5.1 Reb, 1.4 Ast",
10,SR,G,6-0,160,"Madison, AL",James Clemens HS,,"6.5 Pts, 1.8 Reb, 1.5 Ast",
25,SR,F,6-7,205,"Adel, IA",Sunrise Christian Academy,,"5.5 Pts, 2.2 Reb, 0.6 Ast",
35,FR,C,6-11,247,"Charlotte, NC",Providence Day (NC),,"5.6 Pts, 3.1 Reb, 0.4 Ast",
1,FR,G,6-2,160,"Memphis, TN",St. George's Independent (TN); Oak Hill Academy (VA),,"4.3 Pts, 1.3 Reb, 2.1 Ast",
12,JR,G,5-9,140,"Pembroke Pines, FL",Pembroke Pines (FL),,"4.1 Pts, 1.4 Reb, 2.6 Ast",
2,FR,G,6-5,203,"Knoxville, TN",Webb School of Knoxville (TN),,"3.3 Pts, 1.1 Reb, 0.5 Ast",
3,SR,G,6-3,195,"Athens, AL",Athens (AL),,"3.0 Pts, 0.6 Reb, 0.2 Ast",
32,SR,F,7-0,215,"Gallipolis, OH",Huntington (W. Va.) Prep,,"2.8 Pts, 1.7 Reb, 0.3 Ast",
15,SR,F,6-5,185,"Mountain Brook, AL",Link Year Prep,,"1.4 Pts, 0.6 Reb, 0.0 Ast",
30,JR,G,6-1,150,"Sugar Land, TX",Fort Bend Christian HS,,"0.7 Pts, 0.0 Reb, 0.0 Ast",
7,SO,G,5-11,180,"Mountain Brook, AL",Mountain Brook HS,,"0.8 Pts, 2.0 Reb, 1.8 Ast",
31,SO,F,6-5,200,"Woodstock, GA",Etowah (GA),,"0.3 Pts, 0.0 Reb, 0.2 Ast",
22,FR,G,6-2,165,"Memphis, TN",Evangelical Christian (TN),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
