Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
20,SR,G,6-4,220,"San Bernardino, CA",Wasatch Academy,73 (2018),"12.6 Pts, 3.8 Reb, 2.1 Ast",
12,SR,G,5-10,165,"Marin City, CA",St. Ignatius (CA),,"9.8 Pts, 2.4 Reb, 2.9 Ast",
5,JR,G,6-2,200,"Moreno Valley, CA",Riverside Poly HS,,"8.8 Pts, 2.7 Reb, 3.2 Ast",
13,SR,F,6-9,240,"Houston, TX",The Kinkaid School,75 (2018),"7.9 Pts, 5.3 Reb, 0.9 Ast",
0,SR,F,6-7,210,"Oakland, CA",San Leandro HS,,"7.7 Pts, 5.0 Reb, 0.7 Ast",
3,JR,F,6-6,180,"Ypsilanti, MI",Hillcrest Prep,,"7.4 Pts, 3.6 Reb, 0.6 Ast",
31,SR,F,6-10,230,"Accra, Ghana",Findlay Prep,,"6.0 Pts, 5.9 Reb, 0.6 Ast",
2,SR,G,6-3,210,"Boston, MA",Sierra Canyon HS,,"5.8 Pts, 1.4 Reb, 0.8 Ast",
33,SR,F,6-6,220,"Omaha, NE",Omaha South HS,,"4.5 Pts, 2.9 Reb, 0.8 Ast",
21,FR,G,6-7,175,"Stockton, CA",Lincoln (CA),,"4.3 Pts, 0.5 Reb, 1.5 Ast",
25,FR,F,6-8,240,"Phoenix, AZ",Sunnyslope (AZ),,"0.9 Pts, 1.1 Reb, 0.5 Ast",
11,FR,F,6-9,210,"Richmond, CA",Salesian College Prep,,"0.9 Pts, 0.6 Reb, 0.1 Ast",
14,JR,F,6-9,190,"Ripon, CA",Ripon Christian HS,,"0.7 Pts, 0.2 Reb, 0.0 Ast",
4,SR,G,6-1,145,"Los Angeles, CA",Westchester HS,,"0.6 Pts, 0.3 Reb, 0.3 Ast",
42,JR,G,6-4,190,"Ladera Ranch, CA",Tescoro HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
24,JR,G,6-4,190,"Ladera Ranch, CA",Tesoro HS,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
