Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,G,6-2,172,"Cleveland, OH",Garfield Heights HS,,"14.1 Pts, 4.1 Reb, 2.9 Ast",
2,SR,F,6-8,250,"Charlotte, NC",Oak Hill Academy,,"13.6 Pts, 4.7 Reb, 1.3 Ast",
55,SR,G,6-4,190,"Spartanburg, SC",Dorman (SC),,"9.9 Pts, 4.2 Reb, 4.2 Ast",
30,FR,F,6-7,231,"Columbia, SC",A.C. Flora (SC); Wasatch Academy (UT),98 (2023),"10.4 Pts, 5.7 Reb, 1.8 Ast",
10,JR,F,6-7,215,"Washington, DC",Gonzaga (DC),,"8.3 Pts, 3.3 Reb, 1.0 Ast",
1,JR,G,6-2,180,"Fort Mills, SC",York Prep (SC); Fort Mill (SC); Legacy Early College (SC),,"5.9 Pts, 1.8 Reb, 1.9 Ast",
2,SO,G,6-8,190,"Orangeburg, SC",Denmark-Olar (SC),,"5.9 Pts, 3.6 Reb, 1.3 Ast",
,SR,C,6-11,255,"Brooklyn, NY",Putnam Science Academy,,"3.2 Pts, 2.8 Reb, 0.5 Ast",
15,FR,G,6-4,160,"Helsinki, Finland",Drive Academy (Finland),,"2.2 Pts, 0.7 Reb, 0.5 Ast",
4,SR,F,6-8,200,"Matthews, NC",Metrolina Christian Academy,,"2.2 Pts, 2.1 Reb, 0.7 Ast",
31,SR,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,"2.5 Pts, 2.9 Reb, 0.5 Ast",
14,SO,G,6-0,153,"Cleveland, TN",Baylor School (TN),,"1.0 Pts, 1.0 Reb, 0.0 Ast",
,SR,G,6-6,214,"Skarholmen, Sweden",St. Benedict's Prep School,,"0.5 Pts, 0.7 Reb, 0.3 Ast",
20,FR,G,6-0,175,"Cleveland, OH",Hawken School (OH),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
