Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,SR,G,6-3,180,"San Diego, CA",Mission Bay HS,36 (2019),"17.7 Pts, 3.7 Reb, 3.1 Ast",
13,SR,G,6-8,185,"Libertyville, IL",Libertyville HS,,"13.9 Pts, 6.2 Reb, 4.3 Ast",
0,SO,F,6-5,170,"Milwaukee, WI",Nicolet (WI),,"9.2 Pts, 5.0 Reb, 2.6 Ast",
22,FR,G,6-7,210,"Dallas, TX",Little Elm (TX); Milwaukee Washington (WI); Prolific Prep (CA),35 (2022),"9.0 Pts, 5.1 Reb, 1.0 Ast",
2,JR,G,6-5,210,"Long Beach, CA",St. Bernard HS,,"9.8 Pts, 3.2 Reb, 1.1 Ast",
24,SR,C,6-11,195,"Sacramento, CA",Sheldon HS,,"7.0 Pts, 5.2 Reb, 0.5 Ast",
3,FR,F,7-1,235,"San Antonio, TX",Cole (TX); La Lumiere (IN); Southern California Academy (CA),25 (2022),"5.4 Pts, 2.5 Reb, 0.3 Ast",
1,SO,G,6-4,190,"Fontana, CA",Damien HS,77 (2021),"2.4 Pts, 1.0 Reb, 0.3 Ast",
33,FR,F,6-9,235,"Los Angeles, CA",Windward School (CA); Sierra Canyon (CA),41 (2022),"1.9 Pts, 1.8 Reb, 0.3 Ast",
30,SO,F,6-9,210,"Toowoomba, Australia",Mater Dei (CA),,"1.5 Pts, 1.0 Reb, 0.2 Ast",
4,FR,G,6-5,185,"Hayward, CA",Southern California Academy (CA),,"1.1 Pts, 0.3 Reb, 0.2 Ast",
55,FR,F,7-0,215,"Krasnodar, Russia",Krasnodar Boarding School (Russia); NBA Global Academy,,"0.4 Pts, 0.8 Reb, 0.1 Ast",
15,JR,G,6-0,160,"Calabasas, CA",Sierra Canyon (CA),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
