Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,G,6-3,180,"Marion, IN",Marion HS,,"21.3 Pts, 2.9 Reb, 1.9 Ast",
,SR,G,6-2,195,"Brussels, Belgium",Westminster Academy,,"13.9 Pts, 4.7 Reb, 5.8 Ast",
,JR,F,6-11,210,"Charleroi, Belgium",Calusa Prep School,,"11.6 Pts, 7.6 Reb, 0.8 Ast",
,SR,G,6-5,187,"Gainesville, FL",The Rock School,,"10.7 Pts, 4.4 Reb, 1.2 Ast",
42,SO,C,6-11,190,"Glenwood, MN",La Lumiere School,,"4.5 Pts, 4.0 Reb, 0.7 Ast",
10,FR,G,6-6,180,"St. Petersburg, FL",St. Petersburg (FL),,"4.0 Pts, 1.9 Reb, 0.7 Ast",
,SR,F,6-8,215,"Monrovia, IN",Monrovia HS,,"8.4 Pts, 5.7 Reb, 0.8 Ast",
23,SO,G,5-11,161,"Greenville, GA",Davidson Day School (NC); Providence Day School (NC); New Faith Christian (GA),,"3.7 Pts, 0.5 Reb, 0.9 Ast",
3,SR,G,6-3,170,"Santo Domingo, Dominican Republic",Decatur Heritage Christian Academy,,"2.1 Pts, 1.1 Reb, 0.8 Ast",
13,FR,F,6-9,165,"Paris, France",Cholet Basket (France); DME Academy (FL),,"1.3 Pts, 1.4 Reb, 0.4 Ast",
25,JR,G,6-1,195,"Los Angeles, CA",La Salle Prep (CA),,"1.6 Pts, 0.5 Reb, 0.3 Ast",
21,FR,F,6-10,195,"Merrick, NY",Calhoun (NY); Long Island Lutheran (NY); Newman School (MA),,"1.9 Pts, 1.9 Reb, 0.6 Ast",
14,SO,G,6-6,185,"Sydney, Australia",Montverde Academy (FL),,"3.0 Pts, 0.0 Reb, 0.0 Ast",
2,SO,G,6-7,210,"Iwate, Japan",Sendai Meisei (Japan),,"1.3 Pts, 1.2 Reb, 0.3 Ast",
2,FR,G,6-1,,"DeLand, FL",Father Lopez Catholic (FL),,"1.1 Pts, 0.7 Reb, 0.1 Ast",
33,FR,F,6-10,215,"St. John, IN",Hanover Central (IN); Bosco Institute (IN),,"2.0 Pts, 2.0 Reb, 0.7 Ast",
