Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,JR,G,6-1,195,"Lancaster, TX",Lancaster HS,,"17.9 Pts, 2.7 Reb, 2.7 Ast",
2,SR,F,6-7,208,"Scarborough, Canada",Prolific Prep,,"12.3 Pts, 6.5 Reb, 1.7 Ast",
10,SR,G,6-3,185,"Nashville, TN",Tennessee Prep Academy,,"12.6 Pts, 4.7 Reb, 5.8 Ast",
21,SO,F,6-7,225,"Denton, TX",Guyer HS,,"8.6 Pts, 4.0 Reb, 1.2 Ast",
5,SR,G,6-6,215,"Compton, CA",Bishop Gorman High School,36 (2017),"7.7 Pts, 3.4 Reb, 1.0 Ast",
0,JR,G,6-7,215,"Cibolo, TX",Duncanville HS,37 (2020),"7.0 Pts, 3.1 Reb, 1.2 Ast",
13,SR,G,6-0,176,"Amarillo, TX",Tascosa (TX),,"5.9 Pts, 2.2 Reb, 2.3 Ast",
12,JR,F,6-9,235,"Sulphur Springs, TX",Sulphur Springs HS,,"4.4 Pts, 2.6 Reb, 0.4 Ast",
4,JR,C,6-11,300,"Katy, TX",Morton Ranch HS,,"6.3 Pts, 5.9 Reb, 1.2 Ast",
11,JR,G,6-4,170,"Midwest City, OK",Putnam City West HS,76 (2020),"1.9 Pts, 1.6 Reb, 0.7 Ast",
25,JR,C,6-11,235,"Abidjan, C̫te d'Ivoire",Trail International School (Thailand),,"0.9 Pts, 1.0 Reb, 0.0 Ast",
3,FR,G,6-3,192,"Crosby, TX",Crosby (TX),,"2.8 Pts, 1.5 Reb, 0.8 Ast",
35,SO,G,6-3,180,"San Jose, CA",Bellarmine College Prep,,"0.6 Pts, 0.0 Reb, 0.0 Ast",
22,FR,G,6-6,207,"Dallas, TX",Greensboro Day School,,"0.3 Pts, 0.3 Reb, 0.2 Ast",
30,SO,G,5-10,142,"Fort Worth, TX",Dunbar YMLA (TX),,"0.3 Pts, 0.3 Reb, 0.0 Ast",
55,FR,G,6-0,157,"Houston, TX",IMG Academy (FL),,"0.0 Pts, 0.2 Reb, 0.0 Ast",
33,FR,G,6-1,168,"Weatherford, TX",Brock (TX),,"0.0 Pts, 0.3 Reb, 0.0 Ast",
