Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
25,SR,G,6-3,188,"Montevideo, Uruguay",NBA Global Academy,,"12.5 Pts, 4.6 Reb, 3.1 Ast",
13,SR,F,6-8,223,"Helsinki, Finland",Bishop Walsh School,,"10.8 Pts, 5.0 Reb, 2.0 Ast",
5,SO,G,5-9,160,"Long Island, NY",Our Saviour Lutheran School,,"10.7 Pts, 2.7 Reb, 5.4 Ast",
4,SR,G,6-3,205,"Celina, TN",Clay County High School,,"8.2 Pts, 2.5 Reb, 1.3 Ast",
2,FR,F,6-8,198,"Blythewood, SC",Blythewood (SC); Link Academy (MO),14 (2022),"8.3 Pts, 4.7 Reb, 1.4 Ast",
30,SR,G,6-6,207,"Charleston, SC",Porter-Gaud School,20 (2019),"10.0 Pts, 4.7 Reb, 1.8 Ast",
0,SO,F,6-11,230,"Durham, NC",Durham Voyager Academy (NC); Liberty Heights Athletic Institute (NC),39 (2021),"5.1 Pts, 4.9 Reb, 0.9 Ast",
15,SO,G,6-4,192,"Fontana, CA",Etiwanda HS,64 (2021),"4.7 Pts, 2.4 Reb, 1.5 Ast",
33,SR,C,7-0,262,"Ivanjica, Serbia",Hamilton Heights Christian Academy,,"4.9 Pts, 3.4 Reb, 0.7 Ast",
11,FR,F,6-8,250,"Hyde Park, NY",Cardinal Hayes (NY),,"3.2 Pts, 3.8 Reb, 0.3 Ast",
1,FR,G,6-3,188,"Knoxville, TN",Knoxville Catholic (TN),,"1.2 Pts, 0.6 Reb, 0.4 Ast",
31,SR,G,6-5,170,"Knoxville, TN",Christian Academy (TN),,"1.0 Pts, 0.3 Reb, 0.3 Ast",
35,JR,F,6-9,239,"Fredericksburg, VA",Stafford (VA),,"0.5 Pts, 0.3 Reb, 0.0 Ast",
21,JR,G,6-1,164,"Greenville, NC",D.H. Conley HS,,"0.0 Pts, 0.5 Reb, 0.2 Ast",
24,SO,G,6-4,212,"Clarksville, TN",Clarksville Northeast (TN),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
