Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,JR,F,6-5,208,"Lubumbashi, Democratic Republic of the Congo",Spire Academy,,"13.2 Pts, 9.4 Reb, 1.2 Ast",
0,JR,G,6-4,170,"Mansfield, TX",Mansfield Legacy (TX),,"12.0 Pts, 1.6 Reb, 1.4 Ast",
11,JR,G,6-1,170,"Springfield, IL",Springfield Southeast HS,,"9.8 Pts, 4.3 Reb, 3.9 Ast",
22,SR,G,6-5,185,"Philadelphia, PA",Upper Dublin (PA),,"8.5 Pts, 3.5 Reb, 1.1 Ast",
13,SR,F,6-8,230,"Orlando, FL",Central Florida Christian,,"7.8 Pts, 5.9 Reb, 1.0 Ast",
4,JR,G,5-11,177,"San Antonio, TX",Wagner HS,,"6.6 Pts, 2.3 Reb, 3.2 Ast",
2,SR,G,6-0,190,"Klein, TX",Klein High School,,"7.2 Pts, 2.1 Reb, 1.8 Ast",
23,SR,F,6-8,210,"Thomson, GA",South Kent School,,"5.2 Pts, 2.7 Reb, 0.9 Ast",
32,SR,C,6-9,220,"Houston, TX",Fort Bend Bush HS,,"3.8 Pts, 2.5 Reb, 0.3 Ast",
3,JR,G,6-2,170,"Waterloo, IA",Waterloo East HS,,"2.6 Pts, 1.2 Reb, 0.5 Ast",
5,FR,G,6-4,170,"Grand Prairie, TX",South Grand Prairie HS,,"3.6 Pts, 0.7 Reb, 0.4 Ast",
21,SR,G,6-3,185,"San Antonio, TX",,,"1.7 Pts, 0.7 Reb, 0.2 Ast",
14,,G,6-4,175,"Fresno, TX",,,"3.8 Pts, 2.3 Reb, 1.0 Ast",
