Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
4,JR,G,6-0,186,"Lancaster, TX",Lancaster HS,,"19.1 Pts, 3.5 Reb, 4.0 Ast",
23,SR,G,6-2,200,"Baton Rouge, LA",McKinley HS,,"16.5 Pts, 6.5 Reb, 2.6 Ast",
15,SR,F,6-7,229,"Richmond, VA",Trinity Episcopal (VA),49 (2020),"8.8 Pts, 5.6 Reb, 0.7 Ast",
9,SO,F,6-7,225,"New Orleans, LA",Carver (LA),,"7.4 Pts, 5.7 Reb, 0.8 Ast",
0,JR,G,6-5,215,"Titusville, FL",Astronaut HS,,"6.9 Pts, 4.7 Reb, 0.6 Ast",
35,JR,G,6-4,189,"Allen, TX",John Paul III HS,29 (2021),"7.0 Pts, 1.4 Reb, 0.7 Ast",
11,SR,G,6-7,205,"Moca, Dominican Republic",Hamilton Heights (Tenn.) HS,,"6.0 Pts, 9.1 Reb, 1.5 Ast",
2,SR,G,6-6,182,"Nederland, TX",Nederland HS,,"5.0 Pts, 1.7 Reb, 0.6 Ast",
10,SR,F,6-11,230,"Brockton, MA",Gould Academy,,"1.6 Pts, 2.5 Reb, 0.1 Ast",
5,SR,G,6-5,185,"Atlanta, GA",Washington Academy,,"2.1 Pts, 0.8 Reb, 0.2 Ast",
,FR,G,6-3,190,"Baltimore, MD",St. Frances (MD); IMG Academy (FL),,"1.8 Pts, 0.1 Reb, 0.6 Ast",
24,SO,G,6-6,195,"Paris, TX",Paris (TX),,"0.7 Pts, 0.4 Reb, 0.0 Ast",
