Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-4,170,"Mansfield, TX",Mansfield Legacy (TX),,"15.7 Pts, 2.3 Reb, 1.2 Ast",
10,SR,F,6-5,208,"Lubumbashi, Democratic Republic of the Congo",Spire Academy,,"14.5 Pts, 9.9 Reb, 1.2 Ast",
11,SR,G,6-1,170,"Springfield, IL",Springfield Southeast HS,,"13.4 Pts, 4.3 Reb, 5.4 Ast",
23,SR,G,5-10,162,"Detroit, MI",Bishop O'Dowd (CA),,"9.9 Pts, 2.1 Reb, 1.3 Ast",
4,SR,G,5-11,177,"San Antonio, TX",Wagner HS,,"7.4 Pts, 2.9 Reb, 2.9 Ast",
13,SR,F,6-8,230,"Orlando, FL",Central Florida Christian,,"6.2 Pts, 6.0 Reb, 1.2 Ast",
12,FR,F,6-8,180,"Evansville, IN",Evansville Reitz HS,,"5.2 Pts, 2.3 Reb, 0.7 Ast",
22,SR,G,6-5,185,"Philadelphia, PA",Upper Dublin (PA),,"4.2 Pts, 2.9 Reb, 1.1 Ast",
2,SO,G,6-4,170,"Grand Prairie, TX",South Grand Prairie HS,,"4.9 Pts, 1.6 Reb, 0.5 Ast",
5,FR,G,6-3,170,"North Richland Hills, TX",Richland (TX),,"2.6 Pts, 0.7 Reb, 0.5 Ast",
3,SR,G,6-2,170,"Waterloo, IA",Waterloo East HS,,"2.7 Pts, 1.0 Reb, 0.9 Ast",
1,JR,F,6-8,225,"Brampton, Canada",Louise Arbour Secondary School,,"2.6 Pts, 1.7 Reb, 0.4 Ast",
42,SO,C,7-3,280,"Prosper, TX",Rock Hill (TX),,"1.1 Pts, 1.4 Reb, 0.0 Ast",
14,FR,G,6-1,168,"Omaha, NE",Omaha Central (NE),,"0.7 Pts, 0.2 Reb, 0.5 Ast",
21,FR,F,6-7,190,"San Antonio, TX",Sam Houston (TX),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
