Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
4,SO,G,6-0,186,"Lancaster, TX",Lancaster HS,,"16.3 Pts, 2.7 Reb, 3.9 Ast",
23,SR,G,6-2,200,"Baton Rouge, LA",McKinley HS,,"13.3 Pts, 5.3 Reb, 2.4 Ast",
0,SR,G,6-5,210,"Baker, LA",Believe Academy,,"9.5 Pts, 5.7 Reb, 1.2 Ast",
34,JR,F,6-8,225,"Dallas, TX",Dallas Jesuit (TX),,"9.1 Pts, 4.1 Reb, 0.4 Ast",
15,JR,F,6-7,229,"Richmond, VA",Trinity Episcopal (VA),49 (2020),"9.0 Pts, 5.7 Reb, 0.9 Ast",
2,JR,G,6-6,182,"Nederland, TX",Nederland HS,,"3.4 Pts, 0.7 Reb, 0.5 Ast",
11,JR,G,6-7,205,"Moca, Dominican Republic",Hamilton Heights (Tenn.) HS,,"3.2 Pts, 4.4 Reb, 0.8 Ast",
35,SO,G,6-4,189,"Allen, TX",John Paul III HS,29 (2021),"5.2 Pts, 1.4 Reb, 1.0 Ast",
13,FR,F,6-7,225,"New Orleans, LA",Carver (LA),,"3.2 Pts, 2.9 Reb, 0.3 Ast",
20,SR,G,6-2,188,"Sidney, OH",Sidney HS,,"2.2 Pts, 1.6 Reb, 1.2 Ast",
1,JR,G,6-0,175,"Little Rock, AR",Oak Hill Academy (Va.),62 (2020),"1.8 Pts, 0.6 Reb, 0.6 Ast",
3,JR,G,6-5,185,"Lake Worth, FL",Park Vista (FL),,"1.4 Pts, 0.1 Reb, 0.2 Ast",
31,SO,C,7-0,250,"Toronto, Canada",Thornlea Secondary HS,,"1.7 Pts, 1.6 Reb, 0.1 Ast",
22,SO,G,6-1,185,"Nolensville, TN",Nolensville (TN),,"0.5 Pts, 0.0 Reb, 0.0 Ast",
