Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,SR,F,6-9,200,"Houston, TX",Fort Bend Marshall (TX),,"12.9 Pts, 4.2 Reb, 1.4 Ast",
2,SO,F,6-5,215,"Memphis, TN",Collierville HS,,"13.5 Pts, 4.4 Reb, 2.0 Ast",
3,SR,G,5-10,165,"Houston, TX",Shadow Creek (TX),,"12.4 Pts, 1.8 Reb, 2.1 Ast",
5,SR,F,6-9,220,"Pearland, TX",Glenda Dawson High School,,"10.7 Pts, 8.9 Reb, 1.5 Ast",
12,FR,G,6-2,199,"Alexandria, LA",Peabody (LA); Sunrise Christian Academy (KS),,"7.9 Pts, 3.7 Reb, 0.9 Ast",
14,FR,G,6-5,180,"Missouri City, TX",Ridge Point HS,,"4.9 Pts, 2.7 Reb, 1.0 Ast",
20,SO,G,6-5,180,"Houston, TX",Hampton HS,,"4.8 Pts, 4.0 Reb, 1.1 Ast",
4,JR,G,6-3,185,"Denton, TX",Denton Guyer (TX),,"3.0 Pts, 2.2 Reb, 0.4 Ast",
11,SR,G,6-5,175,"Houston, TX",Chris Walker Academy (TX),,"2.6 Pts, 2.2 Reb, 1.4 Ast",
0,JR,G,6-5,185,"Phoenix, AZ",College Prep Academy,,"2.4 Pts, 2.3 Reb, 1.2 Ast",
25,SR,F,6-10,225,"Dallas, TX",John H. Guyer HS,,"2.4 Pts, 2.5 Reb, 0.4 Ast",
23,FR,F,6-7,185,"Los Angeles, CA",Union Grove HS,,"1.3 Pts, 0.9 Reb, 0.6 Ast",
42,SR,,,,,,,"0.0 Pts, 0.5 Reb, 0.0 Ast",
