Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
11,SR,F,6-8,228,"Fresno, CA",Theodore Roosevelt High School,,"14.1 Pts, 4.2 Reb, 1.1 Ast",
0,SR,F,6-8,225,"Houston, TX",Mount Zion Christian Academy,,"10.0 Pts, 5.5 Reb, 0.5 Ast",
2,SR,G,6-6,210,"Buffalo, NY",Olney Central HS,,"9.4 Pts, 3.1 Reb, 1.6 Ast",
25,SR,G,6-6,205,"Milwaukee, WI",Desert Vista (AZ),,"8.6 Pts, 4.4 Reb, 2.8 Ast",
15,JR,G,6-6,205,"San Antonio, TX",Wagner HS,,"10.1 Pts, 4.6 Reb, 3.1 Ast",
1,JR,G,6-6,210,"Chicago, IL",Lincoln Park HS,81 (2019),"10.4 Pts, 2.6 Reb, 2.0 Ast",
14,SR,F,6-7,245,"Taunton, MA",Vermont Academy,,"4.7 Pts, 4.1 Reb, 0.9 Ast",
3,JR,G,6-3,190,"Montreuil, France",Our Savior New American (NY),,"3.5 Pts, 1.2 Reb, 0.9 Ast",
13,JR,G,6-3,175,"Rayville, LA",Rayville (LA),,"2.5 Pts, 1.7 Reb, 1.7 Ast",
4,FR,F,6-11,245,"Paris, France",Centre Federal du Basketball (France),,"2.2 Pts, 2.7 Reb, 0.4 Ast",
21,SO,F,6-6,255,"Los Angeles, CA",Westchester (CA),,"1.9 Pts, 1.8 Reb, 0.4 Ast",
23,SO,G,6-7,215,"San Diego, CA",Saint Augustine HS,92 (2020),"1.5 Pts, 1.0 Reb, 0.0 Ast",
5,SR,G,6-6,220,"Tappahannock, VA",Blue Ridge (VA),,"3.5 Pts, 0.9 Reb, 0.5 Ast",
22,,F,6-9,190,"The Woodlands, TX",The Woodlands HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
