Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,SR,G,6-2,195,"Toronto, Canada",Montverde Academy,,"15.9 Pts, 3.0 Reb, 4.1 Ast",
10,SR,G,6-4,180,"Houston, TX",Fort Bend Marshall HS,,"13.0 Pts, 3.5 Reb, 2.0 Ast",
4,SO,G,6-0,178,"Racine, WI",St. Catherines HS,34 (2021),"10.3 Pts, 3.0 Reb, 2.5 Ast",
0,SR,F,6-6,198,"Mesa, AZ",Red Mountain HS,,"10.5 Pts, 5.6 Reb, 3.5 Ast",
1,SR,F,6-9,220,"Pflugerville, TX",Hendrickson (TX),,"8.8 Pts, 4.4 Reb, 1.0 Ast",
32,SR,F,6-7,220,"Lee's Summit, MO",West HS,,"6.6 Pts, 3.7 Reb, 0.9 Ast",
2,FR,G,6-3,190,"Dallas, TX",Kimball (TX),19 (2022),"4.6 Pts, 1.4 Reb, 0.5 Ast",
30,SR,F,6-5,204,"Austin, TX",Westlake HS,,"4.6 Pts, 3.4 Reb, 1.4 Ast",
23,FR,F,6-8,205,"Tampa, FL",Bishop McLaughlin (FL); Montverde Academy (FL),5 (2022),"4.3 Pts, 3.9 Reb, 0.4 Ast",
14,FR,F,6-5,200,"McKinney, TX",McKinney (TX),,"1.5 Pts, 0.7 Reb, 0.1 Ast",
12,FR,F,6-6,195,"Highlands Ranch, CO",Northfield Mount Hermon School,,"0.7 Pts, 0.6 Reb, 0.0 Ast",
13,FR,G,6-1,185,"Dallas, TX",Jesuit College Prep,,"0.3 Pts, 0.5 Reb, 0.2 Ast",
