Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,JR,G,6-6,220,"Camarillo, CA",Camarillo HS,96 (2019),"13.9 Pts, 5.7 Reb, 2.3 Ast",
3,JR,G,6-6,210,"Los Angeles, CA",Harvard-Westlake School,34 (2019),"15.6 Pts, 4.7 Reb, 1.8 Ast",
1,SR,G,6-6,205,"Los Angeles, CA",Windward School,45 (2018),"12.8 Pts, 4.7 Reb, 1.7 Ast",
10,JR,G,5-11,180,"Cedar Rapids, IA",La Lumiere School,,"11.9 Pts, 2.5 Reb, 4.3 Ast",
0,SO,G,6-5,195,"Riverside, CA",Etiwanda HS,84 (2020),"6.7 Pts, 3.8 Reb, 1.0 Ast",
2,SR,F,6-9,225,"Kansas City, KS",Sierra Canyon HS,44 (2017),"7.3 Pts, 3.9 Reb, 1.0 Ast",
34,SR,G,6-4,210,"Los Angeles, CA",Bishop Montgomery HS,83 (2018),"4.8 Pts, 1.5 Reb, 0.9 Ast",
15,SR,F,6-11,255,"Long Beach, CA",Long Beach Polytechnic HS,,"3.6 Pts, 5.4 Reb, 0.7 Ast",
23,FR,G,6-8,200,"Long Beach, CA",Long beach Poly HS,8 (2021),"3.3 Pts, 2.9 Reb, 0.8 Ast",
13,JR,G,6-6,220,"Aliso Viejo, CA",Santa Margarita Catholic HS,,"2.4 Pts, 1.0 Reb, 0.5 Ast",
14,JR,F,6-9,255,"Lagos, Nigeria",Huntington Prep,,"1.2 Pts, 0.9 Reb, 0.2 Ast",
43,SR,G,6-3,190,"Northridge, CA",Crespi HS,,"0.3 Pts, 0.3 Reb, 0.1 Ast",
20,SO,F,6-7,210,"Oceanside, CA",Mater Dei HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
