Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,JR,G,6-1,170,"Alpine, UT",Lone Peak HS,,"16.2 Pts, 3.3 Reb, 4.5 Ast",
23,SR,F,6-8,230,"Lancaster, PA",Manheim Central High School,,"13.4 Pts, 5.5 Reb, 1.7 Ast",
30,SR,F,6-9,220,"Eltham, United Kingdom",Barking Abbey,,"12.0 Pts, 6.8 Reb, 0.9 Ast",
11,JR,G,6-4,197,"Kyiv, Ukraine",Basketball School of Excellence,,"11.9 Pts, 4.5 Reb, 4.0 Ast",
2,SR,G,6-8,190,"Brisbane, Australia",Churchie (Australia),,"10.3 Pts, 5.2 Reb, 2.6 Ast",
32,SR,F,7-0,240,"Heber City, UT",Wasatch HS,,"5.8 Pts, 4.0 Reb, 0.3 Ast",
24,SO,F,6-7,170,"Riffa, Bahrain",Bridgton Academy,,"4.2 Pts, 2.3 Reb, 0.6 Ast",
5,SR,G,6-3,225,"London, United Kingdom",Barking Abbey HS,,"3.2 Pts, 1.1 Reb, 0.8 Ast",
15,SR,G,6-0,179,"Holladay, UT",Olympus HS,100 (2019),"4.2 Pts, 1.3 Reb, 3.3 Ast",
12,JR,C,6-11,240,"Zaborze, Poland",PZKosz WÅadysÅawowo (Poland),,"0.6 Pts, 0.5 Reb, 0.1 Ast",
0,FR,G,6-4,215,"Providence, UT",Ridgeline HS,,"0.0 Pts, 0.8 Reb, 0.3 Ast",
13,JR,G,6-2,150,"Charlotte, NC",Gaston Christian HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
14,JR,G,5-11,155,"Annapolis, MD",Archbishop Spalding HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
