Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
13,SR,G,6-3,190,"Evansville, IN",Reitz Memorial HS,,"13.4 Pts, 3.1 Reb, 2.1 Ast",
1,SR,G,6-0,165,"Portland, OR",Grant HS,,"11.6 Pts, 2.3 Reb, 1.8 Ast",
15,SR,G,6-4,175,"San Diego, CA",Torrey Pines HS,,"11.7 Pts, 4.9 Reb, 2.4 Ast",
24,SR,F,6-8,220,"Manchester, CT",East Catholic HS,,"8.9 Pts, 3.0 Reb, 0.9 Ast",
55,SR,G,6-5,190,"Evansville, IN",Evansville Harrison HS,,"7.9 Pts, 7.2 Reb, 4.4 Ast",
4,SR,G,6-3,192,"Cincinnati, OH",Walnut Hills HS,,"7.3 Pts, 1.6 Reb, 0.7 Ast",
3,FR,G,6-5,190,"Pelham, Canada",The Rock School (FL),,"5.1 Pts, 1.7 Reb, 0.5 Ast",
0,SO,F,6-7,185,"Lebanon, PA",Cedar Crest HS,,"3.1 Pts, 2.0 Reb, 0.2 Ast",
32,SR,F,6-7,210,"Scarborough, ME",Scarborough HS,,"4.1 Pts, 1.9 Reb, 0.8 Ast",
2,FR,G,6-5,215,"Ajax, Canada",Rothesay Netherwood HS,,"2.4 Pts, 2.1 Reb, 0.5 Ast",
12,FR,F,6-9,225,"North Augusta, SC",Legacy Early College (SC),,"1.9 Pts, 1.7 Reb, 0.3 Ast",
35,FR,F,6-7,225,"Los Angeles, CA",Veritas Training Academy (CA),,"1.4 Pts, 0.5 Reb, 0.1 Ast",
25,FR,G,5-10,180,"Burlington, VT",Rice Memorial HS,,"0.6 Pts, 0.1 Reb, 0.0 Ast",
