Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,SR,G,6-3,174,"Baton Rouge, LA",Scotlandville Magnet HS,57 (2020),"14.3 Pts, 3.6 Reb, 6.2 Ast",
11,SO,G,6-4,179,"Poca, WV",Poca (WV),63 (2022),"12.3 Pts, 3.0 Reb, 1.6 Ast",
13,SO,G,6-8,208,"Freeport, NY",Oak Hill Academy (NJ); Long Island Lutheran (NY); Perkiomen School (PA),,"8.1 Pts, 6.9 Reb, 0.8 Ast",
34,SR,G,6-7,185,"Spokane, WA",Shadle Park HS,,"7.4 Pts, 2.8 Reb, 0.6 Ast",
4,SO,G,6-6,185,"Brookfield, WI",Brookfield Central (WI),,"4.3 Pts, 1.8 Reb, 2.7 Ast",
22,SR,F,6-8,220,"Kingston, MA",Bimmer And May School,,"4.3 Pts, 3.1 Reb, 0.3 Ast",
0,FR,F,6-11,215,"Coeur d'Alene, ID",Lake City (ID),75 (2023),"3.4 Pts, 3.1 Reb, 0.4 Ast",
10,JR,G,6-5,207,"Auckland, New Zealand",Rosmini College (New Zealand),,"3.3 Pts, 1.2 Reb, 0.9 Ast",
,FR,G,6-5,200,"Wauwatosa, WI",Wauwatosa East (WI),64 (2022),"4.1 Pts, 2.8 Reb, 0.6 Ast",
1,JR,G,6-0,170,"Washington, DC",Lakeway Christian Academy,,"2.5 Pts, 2.0 Reb, 1.4 Ast",
12,FR,G,6-4,180,"Jersey City, NJ",Hudson Regional (NJ); Hudson Catholic (NJ),53 (2023),"3.4 Pts, 1.2 Reb, 0.4 Ast",
24,SR,F,6-7,202,"Virginia Beach, VA",Norfolk Collegiate (VA),,"0.7 Pts, 0.2 Reb, 0.1 Ast",
8,JR,G,6-2,200,"Beltsville, MD",Our Lady of Good Counsel (MD); New Hampton School (NH),,"0.6 Pts, 0.1 Reb, 0.1 Ast",
