Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,JR,G,6-6,185,"Wheelersburg, OH",Wheelersburg HS,,"20.1 Pts, 7.1 Reb, 2.6 Ast",
00,JR,F,6-9,225,"Pewaukee, WI",Pewaukee HS,,"18.4 Pts, 8.5 Reb, 2.0 Ast",
1,JR,G,6-0,165,"Glendale Heights, IL",St. Viator HS,,"14.6 Pts, 3.3 Reb, 3.4 Ast",
24,JR,G,6-6,215,"Champaign, IL",Champaign Central HS,,"8.8 Pts, 5.2 Reb, 2.7 Ast",
12,FR,C,6-9,215,"Dayton, OH",Bishop Fenwick HS,,"5.4 Pts, 3.0 Reb, 0.5 Ast",
22,SO,G,6-6,180,"Greensburg, IN",Greensburg HS,,"4.1 Pts, 1.8 Reb, 1.2 Ast",
4,FR,G,5-11,165,"Hillard, OH",Hilliard Bradley HS,,"3.2 Pts, 2.0 Reb, 1.8 Ast",
5,JR,F,6-7,233,"Bloomington, IL",Normal Community (IL),,"1.8 Pts, 1.2 Reb, 0.2 Ast",
23,SR,F,6-7,210,"Columbus, OH",Walnut Ridge HS,,"3.2 Pts, 1.1 Reb, 0.0 Ast",
13,SR,F,6-6,220,"Milford, OH",Moeller High School,,"1.6 Pts, 0.9 Reb, 0.3 Ast",
20,SR,F,6-7,215,"Oakwood, OH",Oakwood HS,,"0.9 Pts, 1.1 Reb, 0.1 Ast",
3,SO,G,6-3,195,"Grafton, WI",Grafton HS,,"3.0 Pts, 1.3 Reb, 0.7 Ast",
32,JR,G,6-1,175,"Bellbrook, OH",Bellbrook HS,,"0.1 Pts, 0.3 Reb, 0.0 Ast",
