Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
33,SO,F,6-9,245,"Aurora, CO",Overland HS,,"19.5 Pts, 9.6 Reb, 1.3 Ast",
24,SR,G,6-7,200,"Colorado Springs, CO",Vista Ridge High School,,"18.5 Pts, 5.7 Reb, 6.3 Ast",
0,SR,G,6-5,185,"Mattoon, IL",Mattoon (IL),,"10.3 Pts, 5.4 Reb, 0.7 Ast",
25,SO,F,6-8,180,"Chicago, IL",Sunrise Christian Academy,,"7.8 Pts, 4.5 Reb, 0.4 Ast",
53,SO,G,6-4,190,"Scottsdale, AZ",AZ Compass Prep (AZ),,"7.5 Pts, 2.3 Reb, 1.0 Ast",
5,SO,G,6-7,212,"San Antonio, TX",O'Connor HS,,"5.2 Pts, 2.9 Reb, 0.5 Ast",
10,SR,F,6-10,235,"Pine Bluffs, WY",Pine Bluffs HS,,"2.7 Pts, 1.5 Reb, 0.3 Ast",
21,FR,G,6-3,195,"Peoria, IL",Notre Dame HS,,"2.9 Pts, 1.0 Reb, 0.7 Ast",
22,JR,G,6-5,190,"Aurora, CO",Smoky Hills HS,,"1.8 Pts, 2.0 Reb, 0.7 Ast",
2,SO,G,6-4,190,"Melbourne, Australia",Simonds Catholic (Australia),,"0.7 Pts, 0.8 Reb, 1.1 Ast",
11,JR,F,6-10,225,"Dublin, Republic of Ireland",UCD Marian (Ireland),,"1.0 Pts, 0.8 Reb, 0.0 Ast",
55,SO,F,6-9,215,"Louisville, CO",Park Center HS,,"0.7 Pts, 0.3 Reb, 0.0 Ast",
