Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-3,163,"Oakland, CA",Oakland Technical High School,,"16.4 Pts, 4.3 Reb, 4.3 Ast",
3,JR,G,6-5,195,"Birmingham, AL",Mountain Brook HS,,"15.0 Pts, 5.7 Reb, 4.4 Ast",
24,SR,F,6-11,245,"Newburgh, IN",Castle High School,,"14.2 Pts, 7.8 Reb, 2.1 Ast",
5,SR,G,6-4,176,"Hebron, KY",Cooper HS,,"10.9 Pts, 2.7 Reb, 3.0 Ast",
32,SR,F,6-9,225,"Teaneck, NJ",Bergen Catholic HS,,"15.2 Pts, 8.1 Reb, 2.9 Ast",
2,SR,F,6-7,215,"Pickerington, OH",Pickerington North HS,57 (2018),"7.8 Pts, 4.4 Reb, 1.3 Ast",
1,FR,G,6-5,207,"New Haven, CT",Putnam Science Academy (CT),90 (2022),"4.7 Pts, 2.5 Reb, 1.8 Ast",
4,SO,F,6-9,225,"Hartsville, SC",Hartsville (SC),,"2.2 Pts, 1.9 Reb, 0.2 Ast",
15,SR,G,6-2,190,"Hopkinsville, KY",University Heights Academy,83 (2019),"2.2 Pts, 0.8 Reb, 0.9 Ast",
12,FR,G,6-6,211,"Chicago, IL",Buffalo Grove (IL),51 (2022),"2.6 Pts, 1.5 Reb, 0.3 Ast",
22,JR,F,6-10,220,"Walton, KY",Walton-Verona HS,,"1.1 Pts, 1.3 Reb, 0.2 Ast",
34,SO,F,6-7,205,"Canton, GA",Cherokee HS,,"1.0 Pts, 0.7 Reb, 0.3 Ast",
45,JR,G,6-2,185,"Loveland, OH",International Sports Academy,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
35,SO,G,6-6,190,"Newburgh, IN",Castle (IN),,"0.0 Pts, 0.3 Reb, 0.0 Ast",
31,FR,G,6-4,210,"Hamilton, OH",Badin (OH),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
25,FR,G,6-0,185,"Greenwood Village, CO",Regis Jesuit (CO),,"0.0 Pts, 0.3 Reb, 0.0 Ast",
